objID,ra,dec,rerun,run,camcol,field,paper,cluster_type,cluster_name,ori_ra,ori_dec,line_num,label,Filename
"""1237674894735771939""",308.555813163293,28.1641508947528,301,6850,3,37,Jadhav_OC,OC,NGC_6940,308.5557,28.16412,1,BSS,1_301_6850_3_37
"""1237673843004408965""",99.1002582066325,9.4821613177597,301,6605,4,18,rain_OC,OC,Trumpler_5,99.10026,9.48216,2,BSS,2_301_6605_4_18
"""1237673739926831269""",88.0178319300016,21.8121590511137,301,6581,4,43,rain_OC,OC,Berkeley_21,88.01784,21.81216,4,BSS,4_301_6581_4_43
"""1237673739926766906""",87.942736642659,21.6913424404068,301,6581,4,42,rain_OC,OC,Berkeley_21,87.94274,21.69135,7,BSS,7_301_6581_4_42
"""1237673843004407960""",99.0322372354016,9.51577459188948,301,6605,4,18,rain_OC,OC,Trumpler_5,99.03222,9.51578,8,BSS,8_301_6605_4_18
"""1237673739926766374""",88.022621191456,21.7382749353183,301,6581,4,42,rain_OC,OC,Berkeley_21,88.02262,21.73827,9,BSS,9_301_6581_4_42
"""1237673739926766224""",87.9257709553428,21.8267874734606,301,6581,4,42,rain_OC,OC,Berkeley_21,87.92577,21.82679,12,BSS,12_301_6581_4_42
"""1237673843004409094""",99.0368749626119,9.64549416948727,301,6605,4,18,rain_OC,OC,Trumpler_5,99.03686,9.64551,15,BSS,15_301_6605_4_18
"""1237673740465602818""",91.9625676174785,24.2254970523615,301,6581,5,72,rain_OC,OC,NGC_2158,91.96256,24.22551,16,BSS,16_301_6581_5_72
"""1237673740465538780""",91.8755253804983,24.2088777477063,301,6581,5,71,Jadhav_OC,OC,NGC_2158,91.87553,24.20886,17,BSS,17_301_6581_5_71
"""1237673843004539016""",99.2513713173803,9.76833368875131,301,6605,4,20,Jadhav_OC,OC,Trumpler_5,99.25137,9.768338,18,BSS,18_301_6605_4_20
"""1237673843004474360""",99.2840447043828,9.59646136472545,301,6605,4,19,rain_OC,OC,Trumpler_5,99.28403,9.59646,19,BSS,19_301_6605_4_19
"""1237673843004473903""",99.140867185402,9.68812078132311,301,6605,4,19,Jadhav_OC,OC,Trumpler_5,99.14088,9.688124,20,BSS,20_301_6605_4_19
"""1237673843004473699""",99.1123360828638,9.70844231612781,301,6605,4,19,rain_OC,OC,Trumpler_5,99.11233,9.70845,21,BSS,21_301_6605_4_19
"""1237673843004473433""",99.180044202357,9.57456488266568,301,6605,4,19,Jadhav_OC,OC,Trumpler_5,99.18004,9.574567,23,BSS,23_301_6605_4_19
"""1237673843004409304""",99.0611439660399,9.67032071734338,301,6605,4,18,rain_OC,OC,Trumpler_5,99.06114,9.67032,24,BSS,24_301_6605_4_18
"""1237673739926766186""",87.9519528228068,21.7766392975414,301,6581,4,42,Jadhav_OC,OC,Berkeley_21,87.95196,21.77665,25,BSS,25_301_6581_4_42
"""1237673739926765817""",87.8793622730102,21.7990158334949,301,6581,4,42,rain_OC,OC,Berkeley_21,87.87937,21.79902,26,BSS,26_301_6581_4_42
"""1237673739926765601""",87.8448654391675,21.7781289863363,301,6581,4,42,rain_OC,OC,Berkeley_21,87.84487,21.77813,27,BSS,27_301_6581_4_42
"""1237672004223240987""",290.277007059086,37.6914076021785,301,6177,3,44,rain_OC,OC,NGC_6791,290.277,37.69139,28,BSS,28_301_6177_3_44
"""1237673808644802264""",99.2995185539129,9.56881132573827,301,6597,4,20,rain_OC,OC,Trumpler_5,99.29952,9.56883,29,BSS,29_301_6597_4_20
"""1237672004223239715""",290.218095917676,37.7640644555547,301,6177,3,44,Jadhav_OC,OC,NGC_6791,290.2174,37.7643,30,BSS,30_301_6177_3_44
"""1237673808644802263""",99.2999800006812,9.56808912848524,301,6597,4,20,rain_OC,OC,Trumpler_5,99.29998,9.5681,31,BSS,31_301_6597_4_20
"""1237673808644802171""",99.3761571232802,9.4093817733897,301,6597,4,20,Jadhav_OC,OC,Trumpler_5,99.37616,9.409391,32,BSS,32_301_6597_4_20
"""1237673808644737240""",99.2120798147028,9.45873555900343,301,6597,4,19,Jadhav_OC,OC,Trumpler_5,99.21207,9.458755,35,BSS,35_301_6597_4_19
"""1237673808644737170""",99.1785509973664,9.52023087087644,301,6597,4,19,Jadhav_OC,OC,Trumpler_5,99.17844,9.520206,36,BSS,36_301_6597_4_19
"""1237672004223303740""",290.342213615925,37.7699420001655,301,6177,3,45,rain_OC,OC,NGC_6791,290.3422,37.76993,37,BSS,37_301_6177_3_45
